,phrase,label,sentiment,subjectivity,language,count
Dienstagnachmittag,Dienstagnachmittag,MISC,,,de,1.0
The Big One,The Big One,MISC,,,de,1.0
App DB Navigator,App DB Navigator,MISC,,,de,1.0
Kosten-Tsunami“,Kosten-Tsunami“,MISC,,,de,1.0
Speicheranbieter,Speicheranbieter,MISC,,,de,1.0
Batterie-Tsunami der große Kater,Batterie-Tsunami der große Kater,MISC,,,de,1.0
Atom-Katastrophe,Atom-Katastrophe,MISC,,,de,1.0
st&auml;rksten,st&auml;rksten,MISC,,,de,1.0
Grünes Wissen to go,Grünes Wissen to go,MISC,,,de,1.0
K&uuml;ste,K&uuml;ste,MISC,,,de,1.0
Arte-Dokumentation,Arte-Dokumentation,MISC,,,de,1.0
Ang…,Ang…,MISC,,,de,1.0
Ryou-un Ma… Millionen Tonnen,Ryou-un Ma… Millionen Tonnen,MISC,,,de,1.0
Französische,Französische,MISC,,,de,1.0
Papier“,Papier“,MISC,,,de,1.0
WELT-Wissc…,WELT-Wissc…,MISC,,,de,1.0
Das Risiko,Das Risiko,MISC,,,de,1.0
Japanische,Japanische,MISC,,,de,1.0
Spr…,Spr…,MISC,,,de,1.0
Die Wahr…,Die Wahr…,MISC,,,de,1.0
Mi…,Mi…,MISC,,,de,1.0
ViralPress20.04.2026,ViralPress20.04.2026,MISC,,,de,1.0
Sprache,Sprache,MISC,,,de,1.0
Erdbeben“,Erdbeben“,MISC,,,de,1.0
"Ein Erdbeben der Stärke 7,5","Ein Erdbeben der Stärke 7,5",MISC,,,de,1.0
vorläufi…,vorläufi…,MISC,,,de,1.0
V…,V…,MISC,,,de,1.0
Jahr 2011,Jahr 2011,MISC,,,de,1.0
Opf…,Opf…,MISC,,,de,1.0
MCT,MCT,MISC,,,de,1.0
Tsunami-Katastrophe an der Sanriku-Küste,Tsunami-Katastrophe an der Sanriku-Küste,MISC,,,de,1.0
Lets Dance,Lets Dance,MISC,,,de,1.0
Bild-Zeitung,Bild-Zeitung,MISC,,,de,1.0
Makler-Kalkül,Makler-Kalkül,MISC,,,de,1.0
"Champagner-Pyro
Donnerstag","Champagner-Pyro
Donnerstag",MISC,,,de,1.0
Die Gefahr durch Tsunamis,Die Gefahr durch Tsunamis,MISC,,,de,1.0
Dreifachkatastrophe,Dreifachkatastrophe,MISC,,,de,1.0
PODCAST,PODCAST,MISC,,,de,1.0
Unterwegs du…,Unterwegs du…,MISC,,,de,1.0
MEZ,MEZ,MISC,,,de,1.0
Einstimmigkeitsprinzi…,Einstimmigkeitsprinzi…,MISC,,,de,1.0
Meinungen a,Meinungen a,MISC,,,de,1.0
Fukushima-Betreibers Tepco,Fukushima-Betreibers Tepco,MISC,,,de,1.0
Tsunami-Gefahr,Tsunami-Gefahr,MISC,0.0,0.0,de,1.0
Nasa-Satellit,Nasa-Satellit,MISC,1.0,0.0,de,1.0
Die Handelskammer Hamburg,Die Handelskammer Hamburg,MISC,,,de,1.0
Ein Tropensturm,Ein Tropensturm,MISC,,,de,1.0
indonesische,indonesische,MISC,,,de,1.0
österreichischen,österreichischen,MISC,,,de,1.0
Curry-Sauce,Curry-Sauce,MISC,,,de,1.0
Die Genusskolumne,Die Genusskolumne,MISC,,,de,1.0
Kashiwazaki-Kariwa-Akw,Kashiwazaki-Kariwa-Akw,MISC,,,de,1.0
warnen</li><li,warnen</li><li,MISC,,,de,1.0
töten</li><li,töten</li><li,MISC,,,de,1.0
Tsunami-Frühwarnung,Tsunami-Frühwarnung,MISC,,,de,1.0
Küstenbewohner,Küstenbewohner,MISC,,,de,1.0
IKG-Präsident,IKG-Präsident,MISC,,,de,1.0
Novemberpogrome,Novemberpogrome,MISC,,,de,1.0
Chabaraowsk,Chabaraowsk,MISC,,,de,1.0
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,1.0
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,1.0
Kitzbühel-Sturz,Kitzbühel-Sturz,MISC,,,de,1.0
Ein Tsunami“,Ein Tsunami“,MISC,,,de,1.0
GNTM,GNTM,MISC,,,de,1.0
Stadtbild-Tsunami,Stadtbild-Tsunami,MISC,,,de,1.0
v…,v…,MISC,,,de,1.0
Netflix-Algorithmus,Netflix-Algorithmus,MISC,,,de,1.0
Google,Google,MISC,,,de,1.0
KI,KI,MISC,,,de,1.0
Schweres Erdbeben und Tsunami-Warnung,Schweres Erdbeben und Tsunami-Warnung,MISC,,,de,1.0
i…,i…,MISC,,,de,1.0
Alarm des Überwachungssystems,Alarm des Überwachungssystems,MISC,,,de,1.0
Title Update 4,Title Update 4,MISC,,,de,1.0
Schnee-Apokalypse“,Schnee-Apokalypse“,MISC,,,de,1.0
Russischer Winter“,Russischer Winter“,MISC,,,de,1.0
"Grippe-""Tsunami“","Grippe-""Tsunami“",MISC,,,de,1.0
o…,o…,MISC,,,de,1.0
ISS,ISS,MISC,,,de,1.0
Grippe-Tsunami“,Grippe-Tsunami“,MISC,,,de,1.0
Istituto S…,Istituto S…,MISC,,,de,1.0
Subklade K,Subklade K,MISC,,,de,1.0
H3N2-Variante,H3N2-Variante,MISC,,,de,1.0
Grippe-Saison,Grippe-Saison,MISC,,,de,1.0
Katastrophe von Fukushima,Katastrophe von Fukushima,MISC,,,de,1.0
MUT-Talk,MUT-Talk,MISC,0.0,0.0,de,1.0
TK-Chef,TK-Chef,MISC,,,de,1.0
Erdbeben- und Tsunami-Katastrophe,Erdbeben- und Tsunami-Katastrophe,MISC,,,de,1.0
Inflations-Tsunami,Inflations-Tsunami,MISC,,,de,1.0
Hamburger,Hamburger,MISC,,,de,1.0
südamerikanische,südamerikanische,MISC,,,de,1.0
Tiroler erkunden Tiefsee-Erdbebenarchiv,Tiroler erkunden Tiefsee-Erdbebenarchiv,MISC,,,de,1.0
…,…,MISC,0.0,0.0,de,1.0
Lichterfest,Lichterfest,MISC,,,de,1.0
Sechs Tote,Sechs Tote,MISC,,,de,1.0
Ein Jahr nach dem Anschlag,Ein Jahr nach dem Anschlag,MISC,,,de,1.0
Diese Bohrkerne,Diese Bohrkerne,MISC,,,de,1.0
Regi…,Regi…,MISC,,,de,1.0
Titel-Update 4,Titel-Update 4,MISC,,,de,1.0
Mega-Erdbeben,Mega-Erdbeben,MISC,,,de,1.0
