domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.0927962962962963,0.26844310833142365,0.01619047619047619,0.0626343266805344,30.0
www.welt.de,-0.045759920634920646,0.28619710819433175,0.007142857142857143,0.031943828249996996,20.0
www.tagesspiegel.de,0.055999999999999994,0.2382854202851442,0.013333333333333332,0.042440188390760886,20.0
www.bild.de,0.09269312169312167,0.33927670250548847,0.03888888888888888,0.06081276379066245,15.0
www.focus.de,0.03607142857142857,0.230934192667741,0.0494047619047619,0.11409548996468193,14.0
www.n-tv.de,0.07904761904761905,0.1701437398077496,0.05961538461538462,0.08373833209533292,13.0
www.zeit.de,-0.08490740740740742,0.24111295364623603,0.062037037037037036,0.11999423230932676,12.0
www.faz.net,-0.03826388888888888,0.1587174202365071,0.008333333333333333,0.02886751345948129,12.0
www.morgenpost.de,-0.04147186147186148,0.13973991139444933,0.0,0.0,11.0
www.diepresse.com,-0.0571969696969697,0.20454633838192887,0.024242424242424242,0.05595813731096783,11.0
www.tagesschau.de,-0.15306122448979592,0.1751023579592136,0.0,0.0,7.0
www.sueddeutsche.de,-0.04642857142857143,0.2043427326355219,0.05238095238095238,0.08997354108424373,7.0
www.nzz.ch,0.03966666666666666,0.1555652774739773,0.04,0.0894427190999916,5.0
orf.at,0.02333333333333333,0.15477582354991865,0.1,0.2,4.0
www.freitag.de,0.08333333333333333,0.11785113019775792,0.0,0.0,2.0
t3n.de,0.24,0.14142135623730948,0.0,0.0,2.0
science.orf.at,0.0875,0.37123106012293744,0.0,0.0,2.0
www.gameswelt.de,0.0875,0.12374368670764581,0.0,0.0,2.0
www.kino-zeit.de,0.0,1.0,0.0,1.0,1.0
salzburg.orf.at,0.0,1.0,0.0,1.0,1.0
www.gamestar.de,0.0,1.0,0.0,1.0,1.0
www.pcgames.de,0.0,1.0,0.0,1.0,1.0
www.rtl.de,0.0,1.0,0.0,1.0,1.0
www.spektrum.de,0.0,1.0,0.0,1.0,1.0
www.dw.com,0.0,1.0,0.0,1.0,1.0
www.computerbase.de,0.0,1.0,0.0,1.0,1.0
tirol.orf.at,0.0,1.0,0.0,1.0,1.0
